Name,Description,Quantity,Material,Source,Amount_Spent,Production_Cost
Vertical Bar,1 x 2 x 1/16” Box Extrusion,"24""",Aluminum,Offcuts,$0,$11
Pivot Plates,¼ x 5” Bar Extrusion,"2pc x 6""",Aluminum,MetalPros,$13,$13
Horizontal Bars,3030 T-Slot Extrusion,"2pc x 28""",Aluminum,MakerLab,$0,$50
Connector Bars,"1 x 1 x 1/16"" Box Extrusion","2pc x 4""",Aluminum,Offcuts,$0,$12
Pin Blocks,0.5 x 1 Bar Extrusion,"3pc x 2.5""",Aluminum,Offcuts,$0,$7
Clamp Bracket,"0.75 x 2 x 3/16"" U Extrusion","1pc x 4""",Aluminum,Offcuts,$0,$3
Horizontal Index,"1/8 x 1"" Bar Extrusion","2pc x 12""",Aluminum,MetalPros,$7,$7
Compression Latch,6mm Compression,1pc,Stainless Steel,SouthCo Sponsor,$0,$35
Spring Pins,4mm pin,5pc,Stainless Steel,Amazon,$10,$10
Hinge,"2 x 3/4""",1pc,Stainless Steel,Canadian Tire,$3,$3
Bracket Standoffs,"3/8"" Rod Extrusion",4pc,Aluminum,Offcuts,$0,$3
L Brackets,"1 x 1""",8pc,Stainless Steel,Canadian Tire,$4,$4
Horizontal Pin Mount,"2 x 2 x 3/16"" L Extrusion",2pc,Aluminum,Offcuts,$0,$3
Rowing Machine Platforms,,2pc,ABS Plastic,Amazon,$20,$20
Ratchet Straps,,2pc,Mixed Plastic,Amazon,$11,$11
Pivot Disk,,2pc x 55g,PLA,3D Printed,$0,$2
TPU Blocks,,8pc x 13g,TPU,3D Printed,$0,$2
T-Nuts,,20pc,Stainless Steel,Amazon,$12,$12
Horizontal Sliders,,4pc x 6g,PLA,3D Printed,$0,$0.50
M6 Bolts,M6 x 14mm,32pc,Steel,Amazon,$12,$12
1/4-20 Bolts,1/4 x 2.5in,11pc,Steel,MakerLab,$0,$6
Strap Mount,,2pc x 38g,PLA,3D Printed,$0,$1.50
Pivot Support,2020 T-Slot Extrusion,"2pc x 12"" ",Aluminum,Offcuts,$0,$11
